SECTION,TOPIC,SYNTAX,TEXT,EXAMPLE,TEXT_ZH
Commands,CREATE FUNCTION,"
CREATE [TEMPORARY] FUNCTION funcName
([funcArgument[,...]])
RETURNS dataType AS className [USING JAR jarPath]
","
Creates a new function. The function name is uppercased unless they are double quoted in which case they are case sensitive. The function accepts zero or more arguments. The class name and jar path should be in single quotes. The jar path is optional and if not specified then the class name will be loaded from the jars present in directory configured for hbase.dynamic.jars.dir.

","

CREATE FUNCTION my_reverse(varchar) returns varchar as 'com.mypackage.MyReverseFunction' using jar 'hdfs:/localhost:8080/hbase/lib/myjar.jar'
CREATE FUNCTION my_reverse(varchar) returns varchar as 'com.mypackage.MyReverseFunction'
CREATE FUNCTION my_increment(integer, integer constant defaultvalue='10') returns integer as 'com.mypackage.MyIncrementFunction' using jar '/hbase/lib/myincrement.jar'
CREATE TEMPORARY FUNCTION my_reverse(varchar) returns varchar as 'com.mypackage.MyReverseFunction' using jar 'hdfs:/localhost:8080/hbase/lib/myjar.jar'
",建立新函數。除非使用雙引號指定函數名稱，否則名稱將自動轉為大寫；若使用雙引號則保留大小寫敏感性。該函數可接受零個或多個參數。類別名稱與 JAR 路徑必須以單引號包圍。JAR 路徑為可選項目，若未指定，則系統會從 HBase 動態配置目錄（hbase.dynamic.jars.dir）中現有的 JAR 檔案載入對應類別。
Commands,DROP FUNCTION,"
DROP FUNCTION [IF EXISTS] funcName
","
Drops a function.
","
DROP FUNCTION IF EXISTS my_reverse
DROP FUNCTION my_reverse
",刪除函數。
Commands,CREATE VIEW,"
CREATE VIEW [IF NOT EXISTS] newTableRef
[ ( columnDef [,...] ) ]
[AS SELECT * FROM existingTableRef [WHERE expression] ]
[tableOptions]
","
Creates a new view over an existing HBase or Phoenix table. As expected, the WHERE expression is always automatically applied to any query run against the view. As with CREATE TABLE, the table, column family, and column names are uppercased unless they are double quoted. The newTableRef may refer directly to an HBase table, in which case, the table, column family, and column names must match the existing metadata exactly or an exception will occur. When a view is mapped directly to an HBase table, no empty key value will be added to rows and the view will be read-only.
A view will be updatable (i.e. referenceable in a DML statement such as UPSERT or DELETE) if its WHERE clause expression contains only simple equality expressions separated by ANDs. Updatable views are not required to set the columns which appear in the equality expressions, as the equality expressions define the default values for those columns. If they are set, then they must match the value used in the WHERE clause, or an error will occur.
All columns from the existingTableRef are included as columns in the new view as are columns defined in the columnDef list. An ALTER VIEW statement may be issued against a view to remove or add columns, however, no changes may be made to the primary key constraint. In addition, columns referenced in the WHERE clause are not allowed to be removed.
Once a view is created for a table, that table may no longer altered or dropped until all of its views have been dropped.

","
CREATE VIEW ""my_hbase_table""
    ( k VARCHAR primary key, ""v"" UNSIGNED_LONG) default_column_family='a';
CREATE VIEW my_view ( new_col SMALLINT )
    AS SELECT * FROM my_table WHERE k = 100;
CREATE VIEW my_view_on_view
    AS SELECT * FROM my_view WHERE new_col > 70;
",此命令用於在現有的 HBase 或 Phoenix 表上建立新的檢視。如同預期，任何針對該檢視執行的查詢都會自動套用 WHERE 子句中的表達式。與 CREATE TABLE 類似，除非使用雙引號包裹，否則表名、欄位族名稱及欄位名稱均會轉為大寫。若 newTableRef 直接指向一個 HBase 表，則其表名、欄位族名稱及欄位名稱必須與現有元資料完全一致，否則將拋出異常。當檢視直接映射至 HBase 表時，不會向行中添加空的鍵值，且該檢視僅為唯讀。若檢視的 WHERE 子句表達式中僅包含由 AND 連接的簡單相等式，則該檢視可更新（即可在 DML 語句如 UPSERT 或 DELETE 中引用）。對於可更新的檢視，無需設定出現在相等式中的欄位，因為這些相等式已定義該等欄位的預設值；若確實進行了設定，則其值必須與 WHERE 子句中使用的值相符，否則將發生錯誤。新檢視中的所有欄位包含現有表的所有欄位以及 columnDef 清單中定義的欄位。可以對檢視執行 ALTER VIEW 語句以移除或新增欄位，但不得修改主鍵約束。此外，WHERE 子句中引用的欄位不允許被移除。一旦為某個表建立了檢視，在該表的所有檢視都被刪除之前，無法再修改或刪除該表。
Commands,DROP VIEW,"
DROP VIEW [IF EXISTS] tableRef [CASCADE]
","
Drops a view. The optional CASCADE keyword causes any views derived from the view to be dropped as well. When dropping a view, the actual table data is not affected. However, index data for the view will be deleted.

","
DROP VIEW my_view
DROP VIEW IF EXISTS my_schema.my_view
DROP VIEW IF EXISTS my_schema.my_view CASCADE
",刪除檢視。可選的 CASCADE 關鍵字會同時刪除由該檢視衍生出的所有檢視。刪除檢視時，實際的表資料不會受到影響，但檢視的索引資料將被刪除。
Commands,CREATE SEQUENCE,"
CREATE SEQUENCE [IF NOT EXISTS] sequenceRef
[START [WITH] {number | bindParameter}] [INCREMENT [BY] {number | bindParameter}]
[MINVALUE {number | bindParameter}] [MAXVALUE {number | bindParameter}] [CYCLE]
[CACHE {number | bindParameter}]
","
Creates a monotonically increasing sequence. START controls the initial sequence value while INCREMENT controls
by how much the sequence is incremented after each call to NEXT VALUE FOR. By default, the sequence will start
with 1 and be incremented by 1. Specify CYCLE to indicate that the sequence should continue to generate values
after reaching either its MINVALUE or MAXVALUE. After an ascending sequence reaches its MAXVALUE, it generates
its MINVALUE. After a descending sequence reaches its MINVALUE, it generates its MAXVALUE. CACHE controls how
many sequence values will be reserved from the server, cached on the client, and doled out as need by subsequent
NEXT VALUE FOR calls for that client connection to the cluster to save on RPC calls. If not specified, the
phoenix.sequence.cacheSize config parameter defaulting to 100 will be used for the CACHE value.
","
CREATE SEQUENCE my_sequence;
CREATE SEQUENCE my_sequence START WITH -1000
CREATE SEQUENCE my_sequence INCREMENT BY 10
CREATE SEQUENCE my_schema.my_sequence START 0 CACHE 10
",建立一個單調遞增的序列。START 控制初始序列值，INCREMENT 控制每次呼叫 NEXT VALUE FOR 後序列增加的步幅。預設情況下，序列從 1 開始並每次增加 1。指定 CYCLE 表示當序列達到其 MINVALUE 或 MAXVALUE 後應繼續生成值：遞增序列到達 MAXVALUE 後將生成其 MINVALUE，而遞減序列到達 MINVALUE 後則生成其 MAXVALUE。CACHE 控制伺服器預留多少序列值緩存在客戶端，以便後續該客戶連接至叢集時呼叫 NEXT VALUE FOR 可隨需分配，從而減少 RPC 呼叫次數；若未指定，將使用 phoenix.sequence.cacheSize 配置參數的預設值 100 作為 CACHE 的值。
Commands,DROP SEQUENCE,"
DROP SEQUENCE [IF EXISTS] sequenceRef
","
Drops a sequence.

","
DROP SEQUENCE my_sequence
DROP SEQUENCE IF EXISTS my_schema.my_sequence
",刪除序列。
Commands,ALTER,"
ALTER {TABLE | VIEW} tableRef { { ADD [IF NOT EXISTS] columnDef [,...] [options] } | { DROP COLUMN [IF EXISTS] columnRef [,...] } | { SET options } }
","
Alters an existing table by adding or removing columns or updating table options. When a column is dropped from a table, the data in
that column is deleted as well. PK columns may not be dropped, and only nullable PK columns may be added. For a view,
the data is not affected when a column is dropped. Note that creating or dropping columns
only affects subsequent queries and data modifications. Snapshot queries that are connected at an earlier timestamp
will still use the prior schema that was in place when the data was written.

","
ALTER TABLE my_schema.my_table ADD d.dept_id char(10) VERSIONS=10
ALTER TABLE my_table ADD dept_name char(50), parent_id char(15) null primary key
ALTER TABLE my_table DROP COLUMN d.dept_id, parent_id;
ALTER VIEW my_view DROP COLUMN new_col;
ALTER TABLE my_table SET IMMUTABLE_ROWS=true,DISABLE_WAL=true;
",ALTER 命令用於修改現有資料表，包括新增或移除欄位，以及更新資料表的選項。當從資料表中移除某個欄位時，該欄位中的資料也會被刪除。主鍵欄位無法被移除，僅可新增允許為 NULL 的主鍵欄位。對於檢視而言，移除欄位不會影響其資料。請注意，新增或移除欄位僅會影響後續的查詢與資料修改；在較早時間戳記建立連線的快照式查詢，仍將使用資料寫入時所存在的先前架構。
Commands,CREATE INDEX,"
CREATE [LOCAL] INDEX [IF NOT EXISTS] indexName
ON tableRef ( expression [ASC | DESC] [,...] )
[ INCLUDE ( columnRef [,...] ) ]
[ ASYNC ]
[indexOptions] [ SPLIT ON ( splitPoint [,...] ) ]
","
Creates a new secondary index on a table or view. The index will be automatically kept in sync with the table as the data changes.
At query time, the optimizer will use the index if it contains all columns referenced in the query and produces the most efficient
execution plan.
If a table has rows that are write-once and append-only, then the table may set the IMMUTABLE_ROWS property to true (either up-front
in the CREATE TABLE statement or afterwards in an ALTER TABLE statement). This reduces the overhead at write time to maintain the index.
Otherwise, if this property is not set on the table, then incremental index maintenance will be performed on the server side when
the data changes.
As of the 4.3 release, functional indexes are supported which allow arbitrary expressions rather than solely column names to be indexed.
As of the 4.4.0 release, you can specify the ASYNC keyword to create the index using a map reduce job.
","
CREATE INDEX my_idx ON sales.opportunity(last_updated_date DESC)
CREATE INDEX my_idx ON log.event(created_date DESC) INCLUDE (name, payload) SALT_BUCKETS=10
CREATE INDEX IF NOT EXISTS my_comp_idx ON server_metrics ( gc_time DESC, created_date DESC )
    DATA_BLOCK_ENCODING='NONE',VERSIONS=?,MAX_FILESIZE=2000000 split on (?, ?, ?)
CREATE INDEX my_idx ON sales.opportunity(UPPER(contact_name))
",在表或視圖上建立新的次要索引。該索引會隨著資料變更而自動與表保持同步。在查詢執行時，若優化器判斷該索引包含查詢所引用的所有欄位，且能產生最高效的執行計畫，則將使用此索引。若表中存在僅寫入一次且為追加式更新的資料行，可將 IMMUTABLE_ROWS 屬性設定為 true（可在建立表時於 CREATE TABLE 語句中先行設定，或之後透過 ALTER TABLE 語句進行設定），以降低在寫入時維護索引的開銷。若未針對該表設定此屬性，則當資料變更時，伺服器端將執行增量式索引維護。自版本 4.3 起，支援功能型索引，允許對任意表達式（而不僅是欄位名稱）建立索引。自版本 4.4.0 起，可使用 ASYNC 關鍵字透過 MapReduce 工作來建立索引。
Commands,DROP INDEX,"
DROP INDEX [IF EXISTS] indexName ON tableRef
","
Drops an index from a table. When dropping an index, the data in the index is deleted. Note that since metadata is versioned,
snapshot queries connecting at an earlier time stamp may still use the index, as the HBase table backing the index is not deleted.

","
DROP INDEX my_idx ON sales.opportunity
DROP INDEX IF EXISTS my_idx ON server_metrics
",從表中刪除索引。刪除索引時，索引中的數據也會被刪除。請注意，由於元數據採用版本控制機制，在較早時間戳連接的快照查詢仍可能使用該索引，因為支撐該索引的 HBase 表並未刪除。
Commands,ALTER INDEX,"
ALTER INDEX [IF EXISTS] indexName ON tableRef { DISABLE | REBUILD | UNUSABLE | USABLE }
","
Alters the state of an existing index.  DISABLE will cause the no further index maintenance to be performed on the index and it
will no longer be considered for use in queries. REBUILD will completely rebuild the index and upon completion will enable
the index to be used in queries again. UNUSABLE will cause the index to no longer be considered for use in queries, however
index maintenance will continue to be performed. USABLE will cause the index to again be considered for use in queries. Note
that a disabled index must be rebuild and cannot be set as USABLE.
","
ALTER INDEX my_idx ON sales.opportunity DISABLE
ALTER INDEX IF EXISTS my_idx ON server_metrics REBUILD
",ALTER INDEX 用於修改現有索引的狀態。將狀態設為 DISABLE 時，系統將不再對該索引執行維護作業，且該索引將不再被考慮用於查詢；若設為 REBUILD，則會完全重建該索引，重建完成後即可再次用於查詢；設為 UNUSABLE 時，該索引將不再被考慮用於查詢，但系統仍會繼續執行維護作業；設為 USABLE 時，該索引將再次被考慮用於查詢。請注意，已停用（DISABLE）的索引必須先重建，無法直接設為可用（USABLE）。
Commands,EXPLAIN,"
EXPLAIN {select|upsertSelect|delete}
","
Computes the logical steps necessary to execute the given command. Each step is represented as a string in a single column result set row.

","
EXPLAIN SELECT NAME, COUNT(*) FROM TEST GROUP BY NAME HAVING COUNT(*) > 2;
EXPLAIN SELECT entity_id FROM CORE.CUSTOM_ENTITY_DATA WHERE organization_id='00D300000000XHP' AND SUBSTR(entity_id,1,3) = '002' AND created_date < CURRENT_DATE()-1;
",計算執行所給定命令所需的邏輯步驟。每個步驟均以字串形式呈現於單一欄位結果集的一行中。
Other Grammar,Constraint,"
CONSTRAINT constraintName PRIMARY KEY (columnName [ASC | DESC] [ROW_TIMESTAMP] [,...])
","
Defines a multi-part primary key constraint. Each column may be declared to be
sorted in ascending or descending ordering. The default is ascending. One primary
key column can also be designated as ROW_TIMESTAMP provided it is of one of the types: BIGINT, UNSIGNED_LONG, DATE, TIME and TIMESTAMP.
","
CONSTRAINT my_pk PRIMARY KEY (host,created_date)
CONSTRAINT my_pk PRIMARY KEY (host ASC,created_date DESC)
CONSTRAINT my_pk PRIMARY KEY (host ASC,created_date DESC ROW_TIMESTAMP)
",定義多欄位主鍵約束。每個欄位可宣示為依遞增或遞減順序排序，預設為遞增。此外，任一主鍵欄位若資料型態為 BIGINT、UNSIGNED_LONG、DATE、TIME 或 TIMESTAMP，亦可指定為 ROW_TIMESTAMP。
Commands,UPDATE STATISTICS,"
UPDATE STATISTICS tableRef [ALL | INDEX | COLUMNS] [SET guidepostOptions]
","
Updates the statistics on the table and by default all of its associated index tables. To only
update the table, use the COLUMNS option and to only update the INDEX, use the INDEX option.
The statistics for a single index may also be updated by using its full index name for the tableRef.
The default guidepost properties may be overridden by specifying their values after the SET
keyword. Note that when a major compaction occurs, the default guidepost properties will be
used again.

","
UPDATE STATISTICS my_table
UPDATE STATISTICS my_schema.my_table INDEX
UPDATE STATISTICS my_index
UPDATE STATISTICS my_table COLUMNS
UPDATE STATISTICS my_table SET phoenix.stats.guidepost.width=50000000
",此命令會更新表及其預設的所有相關索引表的統計資訊。若僅要更新表，請使用 COLUMNS 選項；若僅要更新索引，則請使用 INDEX 選項。亦可透過在 tableRef 中指定完整索引名稱，來單獨更新單一索引的統計資訊。預設的導航樁屬性可透過在 SET 關鍵字後指定其數值來覆蓋。請注意，當發生主要壓縮時，系統將再次採用預設的導航樁屬性。
Commands,CREATE SCHEMA,"
CREATE SCHEMA [IF NOT EXISTS] schemaName
","
creates a schema and corresponding name-space in hbase. To enable namespace mapping, see https://phoenix.apache.org/tuning.html

User that execute this command should have admin permissions to create namespace in HBase.
","
CREATE SCHEMA IF NOT EXISTS my_schema
CREATE SCHEMA my_schema
",建立一個對應的 HBase 命名空間，並啟用命名空間映射功能；詳細資訊請參閱 https://phoenix.apache.org/tuning.html。執行此命令的使用者必須擁有在 HBase 中建立命名空間的管理權限。
Commands,USE,"
USE { schemaName | DEFAULT }
","
Sets a default schema for the connection and is used as a target schema for all statements issued from the connection that do not specify schema name explicitly.
USE DEFAULT unset the schema for the connection so that no schema will be used for the statements issued from the connection.

schemaName should already be existed for the USE SCHEMA statement to succeed. see CREATE SCHEMA for creating schema.
","
USE my_schema
USE DEFAULT
",SET 指令用於設定連線的預設圖表，並作為所有未明確指定圖表名稱之語句的目標圖表。若執行 USE DEFAULT，則會取消設定該連線的圖表，使得從此連線發出的語句不會使用任何圖表。對於 USE SCHEMA 指令要成功執行，schemaName 必須已存在；如需建立圖表，請參閱 CREATE SCHEMA 指令。
Commands,DROP SCHEMA,"
DROP SCHEMA [IF EXISTS] schemaName
","
Drops a schema and corresponding name-space from hbase. To enable namespace mapping, see https://phoenix.apache.org/tuning.html

This statement succeed only when schema doesn't hold any tables.
","
DROP SCHEMA IF EXISTS my_schema
DROP SCHEMA my_schema
",此語句會從 HBase 中刪除指定的 Schema 及其對應的命名空間。如需啟用命名空間映射，請參閱 https://phoenix.apache.org/tuning.html。僅當該 Schema 中不包含任何資料表時，此語句才會執行成功。
Commands,GRANT,"
GRANT {permissionString} [ON { {SCHEMA schemaName} | tableRef}] TO [GROUP] userString
","
Grant permissions at table, schema or user level. Permissions are managed by HBase in hbase:acl table, hence access controls need to be enabled. This feature will be available from Phoenix 4.14 version onwards.

Possible permissions are R - Read, W - Write, X - Execute, C - Create and A - Admin.
To enable/disable access controls, see https://hbase.apache.org/book.html#hbase.accesscontrol.configuration

Permissions should be granted on base tables. It will be propagated to all its indexes and views.
Group permissions are applicable to all users in the group and schema permissions are applicable to all tables with that schema.
Grant statements without table/schema specified are assigned at GLOBAL level.

Phoenix doesn't expose Execute('X') functionality to end users. However, it is required for mutable tables with secondary indexes.

Important Note:

Every user requires 'RX' permissions on all Phoenix SYSTEM tables in order to work correctly. Users also require 'RWX' permissions on SYSTEM.SEQUENCE table for using SEQUENCES.

","
GRANT 'RXC' TO 'User1'
GRANT 'RWXC' TO GROUP 'Group1'
GRANT 'A' ON Table1 TO 'User2'
GRANT 'RWX' ON my_schema.my_table TO 'User2'
GRANT 'A' ON SCHEMA my_schema TO 'User3'
","授予表、模式或用戶層級的權限。權限由 HBase 在 hbase:acl 表中進行管理，因此必須啟用存取控制。此功能自 Phoenix 4.14 版本起可用。

可能的權限包括：R（讀取）、W（寫入）、X（執行）、C（建立）和 A（管理）。
若要啟用或停用存取控制，請參閱 https://hbase.apache.org/book.html#hbase.accesscontrol.configuration

權限應授予基礎表上，並會自動傳播至其所有索引與視圖。群組權限適用於該群組中的所有用戶，模式權限則適用於具有該模式的所有表。未指定表或模式的 GRANT 語句將被分配至全域層級。

Phoenix 不對終端用戶暴露執行（X）功能，但對於具有次要索引的可變表而言，此功能是必需的。

重要說明：
每位用戶都必須在所有 Phoenix 系統表上擁有「RX」權限才能正常運作；若需使用序列號，用戶還必須在 SYSTEM.SEQUENCE 表上擁有「RWX」權限。"
Commands,REVOKE,"
REVOKE [ON { {SCHEMA schemaName} | tableRef}] FROM [GROUP] userString
","
Revoke permissions at table, schema or user level. Permissions are managed by HBase in hbase:acl table, hence access controls need to be enabled. This feature will be available from Phoenix 4.14 version onwards.

To enable/disable access controls, see https://hbase.apache.org/book.html#hbase.accesscontrol.configuration

Group permissions are applicable to all users in the group and schema permissions are applicable to all tables with that schema.
Permissions should be revoked on base tables. It will be propagated to all its indexes and views.
Revoke statements without table/schema specified are assigned at GLOBAL level.

Revoke removes all the permissions at that level.

Important Note:

Revoke permissions needs to be exactly at the same level as permissions assigned via Grant permissions statement. Level refers to table, schema or user.
Revoking any of 'RX' permissions on any Phoenix SYSTEM tables will cause exceptions.
Revoking any of 'RWX' permissions on SYSTEM.SEQUENCE will cause exceptions while accessing sequences.

The examples below are for revoking permissions granted using the examples from GRANT statement above.
","
REVOKE FROM 'User1'
REVOKE FROM GROUP 'Group1'
REVOKE ON Table1 FROM 'User2'
REVOKE ON my_schema.my_table FROM 'User2'
REVOKE ON SCHEMA my_schema FROM 'User3'
",在表、模式或用戶層級撤銷權限。權限由 HBase 在 hbase:acl 表中管理，因此必須啟用存取控制。此功能自 Phoenix 4.14 版本起可用。若要啟用或停用存取控制，請參閱 https://hbase.apache.org/book.html#hbase.accesscontrol.configuration。群組權限適用於該群組中的所有用戶，模式權限則適用於具有該模式的所有表。撤銷權限應針對基礎表執行，此操作將傳播至其所有索引與檢視。未指定表或模式的撤銷陳述式將被指派至全域層級。撤銷操作會移除該層級上的所有權限。重要注意事項：撤銷權限必須與透過 GRANT 陳述式授予權限的層級完全一致，此處所指的層級包含表、模式或用戶。對任何 Phoenix 系統表中的「RX」權限進行撤銷將導致異常。對 SYSTEM.SEQUENCE 中的任何「RWX」權限進行撤銷，在存取序列時將引發異常。以下範例用於撤銷透過上方 GRANT 陳述式範例所授予的權限。
